OH357       900342049GR10670576                     20241111400017230           F01                                                                   South Carolina Department of Education  South Carolina Department of Education                      428 Wholesale Lane                                                                                                      West Columbia                 SC                                      29172               USA                           Remi803 7348500         jenny.broadhead@franklincovey.com                                               JoannaWoodson Elementary                                    Arneice Renwick                         JoannaWoodson Elementary                                    510 South Ellis Street                                                                                                  Joanna                        SC                                      29351               USA                               8649384170          arneicerenwick@lcsd56g.com                                                      99999999999         OSBU                                                                                                                                                                                                                                                      00000000000000000000000000C00000000   0000000000000000000000000000000000000000000000000000                                                                                                                                                                                                                                                           1805                                                        Chad Smith                              900342049           
OD900342049GR10670576 400017230           0001    78264                         0000000043                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000384800OP          
OD900342049GR10670576 400017230           0002    78266                         0000000010                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000384800OP          
OD900342049GR10670576 400017230           0003    75630                         0000000010                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000087600OP          
OD900342049GR10670576 400017230           0004    78694                         0000000010                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000342000OP          
OD900342049GR10670576 400017230           0005    78711                         0000000010                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000111200OP          
OD900342049GR10670576 400017230           0006    78518                         0000000002                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000855000OP          
OD900342049GR10670576 400017230           0007    78614                         0000000012                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000384800OP          
OD900342049GR10670576 400017230           0008    78617                         0000000001                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000641300OP          
OD900342049GR10670576 400017230           0009    78323                         0000000043                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000598500OP          
OD900342049GR10670576 400017230           0010    78263                         0000000043                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000384800OP          
OD900342049GR10670576 400017230           0011    78265                         0000000043                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000384800OP          
OD900342049GR10670576 400017230           0012    78590                         0000000043                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000064100OP          
OD900342049GR10670576 400017230           0013    78591                         0000000055                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000064100OP          
OD900342049GR10670576 400017230           0014    78592                         0000000044                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000064100OP          
OD900342049GR10670576 400017230           0015    78593                         0000000065                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000064100OP          
OD900342049GR10670576 400017230           0016    78594                         0000000053                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000064100OP          
OD900342049GR10670576 400017230           0017    78595                         0000000045                                                                R                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      00000000000000000000000000000000000000000000000000000000000064100OP          
